Count number,Desc link,Description value,Country,Rank
,Sigmalive.com,,Mirovne operacije,
,Facebook.com,"A social utility that connects people, to keep up with friends, upload photos, share links and …Morevideos.; A social utility that connects people, to keep up with friends, upload photos, share links and",Mirovne operacije,
,Philenews.com,,Mirovne operacije,
,Tothemaonline.com,,Mirovne operacije,
,Fanpage.gr,,Mirovne operacije,
,Ant1iwo.com,,Mirovne operacije,
,Sugklonistiko.gr,,Mirovne operacije,
,Politis.com.cy,,Mirovne operacije,
,Wikipedia.org,A free encyclopedia built collaboratively using wiki software. (Creative Commons Attribution-Sh…MoreareAlike License).; A free encyclopedia built collaboratively using wiki software. (Creative Commons Attribution-Sh,Mirovne operacije,
,Yahoo.com,"A major internet portal and service provider offering search results, customizable content, cha…Moretrooms, free e-mail, clubs, and pager.; A major internet portal and service provider offering search results, customizable content, cha",Mirovne operacije,
,Themasports.com,,Mirovne operacije,
,Bet365.com,Online sports and events betting. Links to racing form analysis and soccer statistics.; Online sports and events betting. Links to racing form analysis and soccer statistics.,Mirovne operacije,
,Live.com,Search engine from Microsoft.; Search engine from Microsoft.,Mirovne operacije,
,Vk.com,,Rumunija,
,Tilestwra.com,,Rumunija,
,I-eidisi.com,,Rumunija,
,Bankofcyprus.com,Includes a joint stock bank and an insurance company.; Includes a joint stock bank and an insurance company.,Rumunija,
,Bongacams.com,Live Webcam Sex Shows For Free Without Registration! Join largest Adult Sex Cams community and …Morechat with 400+ Online Webcam Models Now! For FREE!; Live Webcam Sex Shows For Free Without Registration! Join largest Adult Sex Cams community and,Rumunija,
,Blogspot.com.cy,,Rumunija,
,Instagram.com,,Rumunija,
,Linkedin.com,"A networking tool to find connections to recommended job candidates, industry experts and busin…Moreess partners. Allows registered users to maintain a list of contact details of people they know and trust in business.; A networking tool to find connections to recommended job candidates, industry experts and busin",Rumunija,
,Ebay.co.uk,Person to person online auction site where you can buy or sell new and used items.; Person to person online auction site where you can buy or sell new and used items.,Rumunija,
,Google.ba,"Your ads can appear when people search Google and our advertising network. ... Help your busine…Moress or group communicate better with Google Mail and more. ... Help with Google Search, Services and Products... ... One-stop shop for comprehensive info about how Google crawls and indexes websites... ... Add your site, Google Base, Google Sitemaps... ... Insights to Google products and culture...; Your ads can appear when people search Google and our advertising network. ... Help your busine",BiH,
,Youtube.com,"User-submitted videos with rating, comments, and contests.; User-submitted videos with rating, comments, and contests.",BiH,
,Google.com,"Enables users to search the world's information, including webpages, images, and videos. Offers…More unique features and search technology.; Enables users to search the world's information, including webpages, images, and videos. Offers",BiH,
,Olx.ba,,BiH,
,Facebook.com,"A social utility that connects people, to keep up with friends, upload photos, share links and …Morevideos.; A social utility that connects people, to keep up with friends, upload photos, share links and",BiH,
,Klix.ba,Najposje?eniji informativni portal u BiH / The most popular news site in B&H; Najposje?eniji informativni portal u BiH / The most popular news site in B&H,BiH,
,Wikipedia.org,A free encyclopedia built collaboratively using wiki software. (Creative Commons Attribution-Sh…MoreareAlike License).; A free encyclopedia built collaboratively using wiki software. (Creative Commons Attribution-Sh,BiH,
,Yahoo.com,"A major internet portal and service provider offering search results, customizable content, cha…Moretrooms, free e-mail, clubs, and pager.; A major internet portal and service provider offering search results, customizable content, cha",BiH,
,Instagram.com,,BiH,
,Avaz.ba,Online izdanje politi?ki list Dnevni Avaz iz Sarajeva.; Online izdanje politi?ki list Dnevni Avaz iz Sarajeva.,BiH,
,Live.com,Search engine from Microsoft.; Search engine from Microsoft.,Makedonija,
,Rezultati.com,,Makedonija,
,Bet365.com,Online sports and events betting. Links to racing form analysis and soccer statistics.; Online sports and events betting. Links to racing form analysis and soccer statistics.,Makedonija,
,Ebay.com,"International person to person auction site, with products sorted into categories.; International person to person auction site, with products sorted into categories.",Makedonija,
,Index.hr,"Op?i portal. Info, servisi, vijesti, sport, fun, auto i gastro.; Op?i portal. Info, servisi, vijesti, sport, fun, auto i gastro.",Makedonija,
,Thepiratebay.org,Worlds largest Bittorrent tracker.; Worlds largest Bittorrent tracker.,Makedonija,
,Askcom.me,,Makedonija,
,Imdb.com,"Features plot summaries, reviews, cast lists, and theatre schedules.; Features plot summaries, reviews, cast lists, and theatre schedules.",Makedonija,
,Popads.net,,Makedonija,
,Blic.rs,"Blic online - najnovije vesti, vesti iz Srbije, sporta, zabave, politike, ekonomije; Blic online - najnovije vesti, vesti iz Srbije, sporta, zabave, politike, ekonomije",Balkan-Evropa,
,Onclkds.com,,Balkan-Evropa,
,Sportsport.ba,Vode?i sportski portal u Bosni i Hercegovini.; Vode?i sportski portal u Bosni i Hercegovini.,Balkan-Evropa,
,Movtex.net,,Balkan-Evropa,
,Kurir.rs,,Balkan-Evropa,
,Pornhub.com,Please contact dice[/at/]pornhub[/dot/]com for any inquiries.; Please contact dice[/at/]pornhub[/dot/]com for any inquiries.,Balkan-Evropa,
,Thepiratebay.org,,Ukrajina,
,Askcom.me,,Ukrajina,
,Imdb.com,,Ukrajina,
,Popads.net,,Ukrajina,
,Blic.rs,,Ukrajina,
,Onclkds.com,,Ukrajina,
,Sportsport.ba,,Ukrajina,
,Movtex.net,,Ukrajina,
,Kurir.rs,,Ukrajina,
,Pornhub.com,,Ukrajina,
