url,Headline link,Headline link_link,Value
https://en.wiktionary.org/wiki/Index:All_languages,Oriya,https://en.wiktionary.org/wiki/Oriya,or
https://en.wiktionary.org/wiki/Index:All_languages,Pangasinan,https://en.wiktionary.org/wiki/Pangasinan,pag
https://en.wiktionary.org/wiki/Index:All_languages,Papiamentu,https://en.wiktionary.org/wiki/Papiamentu,pap
https://en.wiktionary.org/wiki/Index:All_languages,Pashto,https://en.wiktionary.org/wiki/Pashto,ps
https://en.wiktionary.org/wiki/Index:All_languages,Persian,https://en.wiktionary.org/wiki/Persian,fa
https://en.wiktionary.org/wiki/Index:All_languages,Pitjantjatjara,https://en.wiktionary.org/wiki/Pitjantjatjara,pjt
https://en.wiktionary.org/wiki/Index:All_languages,Polish,https://en.wiktionary.org/wiki/Polish,pl
https://en.wiktionary.org/wiki/Index:All_languages,Portuguese,https://en.wiktionary.org/wiki/Portuguese,pt
https://en.wiktionary.org/wiki/Index:All_languages,Proto-Slavic,https://en.wiktionary.org/wiki/Proto-Slavic,sla-pro*
https://en.wiktionary.org/wiki/Index:All_languages,Quenya,https://en.wiktionary.org/wiki/Quenya,qya
https://en.wiktionary.org/wiki/Index:All_languages,Rapa Nui,https://en.wiktionary.org/wiki/Rapa_Nui,rap
https://en.wiktionary.org/wiki/Index:All_languages,Romanian,https://en.wiktionary.org/wiki/Romanian,ro
https://en.wiktionary.org/wiki/Index:All_languages,Russian,https://en.wiktionary.org/wiki/Russian,ru
https://en.wiktionary.org/wiki/Index:All_languages,Sanskrit,https://en.wiktionary.org/wiki/Sanskrit,sa
https://en.wiktionary.org/wiki/Index:All_languages,Scots,https://en.wiktionary.org/wiki/Scots,sco
https://en.wiktionary.org/wiki/Index:All_languages,Scottish Gaelic,https://en.wiktionary.org/wiki/Scottish_Gaelic,gd
https://en.wiktionary.org/wiki/Index:All_languages,Serbian,https://en.wiktionary.org/wiki/Serbian,sr
https://en.wiktionary.org/wiki/Index:All_languages,Serbo-Croatian,https://en.wiktionary.org/wiki/Serbo-Croatian,sh
https://en.wiktionary.org/wiki/Index:All_languages,Slovak,https://en.wiktionary.org/wiki/Slovak,sk
https://en.wiktionary.org/wiki/Index:All_languages,Slovene,https://en.wiktionary.org/wiki/Slovene,sl
https://en.wiktionary.org/wiki/Index:All_languages,Spanish,https://en.wiktionary.org/wiki/Spanish,es
https://en.wiktionary.org/wiki/Index:All_languages,Sinhalese,https://en.wiktionary.org/wiki/Sinhalese,si
https://en.wiktionary.org/wiki/Index:All_languages,Swahili,https://en.wiktionary.org/wiki/Swahili,sw
https://en.wiktionary.org/wiki/Index:All_languages,Swedish,https://en.wiktionary.org/wiki/Swedish,sv
https://en.wiktionary.org/wiki/Index:All_languages,Tagalog,https://en.wiktionary.org/wiki/Tagalog,tl
https://en.wiktionary.org/wiki/Index:All_languages,Tajik,https://en.wiktionary.org/wiki/Tajik,tg
https://en.wiktionary.org/wiki/Index:All_languages,Tamil,https://en.wiktionary.org/wiki/Tamil,ta
https://en.wiktionary.org/wiki/Index:All_languages,Tarantino,https://en.wiktionary.org/wiki/Tarantino,roa-tar
https://en.wiktionary.org/wiki/Index:All_languages,Telugu,https://en.wiktionary.org/wiki/Telugu,te
https://en.wiktionary.org/wiki/Index:All_languages,Thai,https://en.wiktionary.org/wiki/Thai,th
https://en.wiktionary.org/wiki/Index:All_languages,Tok Pisin,https://en.wiktionary.org/wiki/Tok_Pisin,tpi
https://en.wiktionary.org/wiki/Index:All_languages,Turkish,https://en.wiktionary.org/wiki/Turkish,tr
https://en.wiktionary.org/wiki/Index:All_languages,,,ak
https://en.wiktionary.org/wiki/Index:All_languages,Ukrainian,https://en.wiktionary.org/wiki/Ukrainian,uk
https://en.wiktionary.org/wiki/Index:All_languages,Upper Sorbian,https://en.wiktionary.org/wiki/Upper_Sorbian,hsb
https://en.wiktionary.org/wiki/Index:All_languages,Urdu,https://en.wiktionary.org/wiki/Urdu,ur
https://en.wiktionary.org/wiki/Index:All_languages,Uzbek,https://en.wiktionary.org/wiki/Uzbek,uz
https://en.wiktionary.org/wiki/Index:All_languages,Venetian,https://en.wiktionary.org/wiki/Venetian,vec
https://en.wiktionary.org/wiki/Index:All_languages,Vietnamese,https://en.wiktionary.org/wiki/Vietnamese,vi
https://en.wiktionary.org/wiki/Index:All_languages,Vilamovian,https://en.wiktionary.org/wiki/Vilamovian,wym
https://en.wiktionary.org/wiki/Index:All_languages,Volapük,https://en.wiktionary.org/wiki/Volap%C3%BCk,vo
https://en.wiktionary.org/wiki/Index:All_languages,Võro,https://en.wiktionary.org/wiki/V%C3%B5ro,vro
https://en.wiktionary.org/wiki/Index:All_languages,Welsh,https://en.wiktionary.org/wiki/Welsh,cy
https://en.wiktionary.org/wiki/Index:All_languages,Xhosa,https://en.wiktionary.org/wiki/Xhosa,xh
https://en.wiktionary.org/wiki/Index:All_languages,Yiddish,https://en.wiktionary.org/wiki/Yiddish,yi
https://en.wiktionary.org/wiki/Index:All_languages,Zazaki,https://en.wiktionary.org/wiki/Zazaki,zza
